model,covariate,HR,coef,se,z,p
M1a 1980-2023 REDUCED FORM (headline: total effect),const,0.0029451917268529405,-5.827581361500909,0.6551767647409611,-8.894670377703298,5.859295131401662e-19
M1a 1980-2023 REDUCED FORM (headline: total effect),dur_3_4,1.9533208332477434,0.669530915539112,0.1854019824483705,3.6112392472694217,0.00030473737684240913
M1a 1980-2023 REDUCED FORM (headline: total effect),dur_5_8,2.9881654933653206,1.0946596517359264,0.18112794983597807,6.043571148059725,1.507398567097984e-09
M1a 1980-2023 REDUCED FORM (headline: total effect),dur_9_12,5.00606071825143,1.610649322031397,0.25253148494527344,6.378013903416613,1.7939923112360841e-10
M1a 1980-2023 REDUCED FORM (headline: total effect),dur_13p,3.9461009233913424,1.3727279833988904,0.38850026276188865,3.533402972857791,0.0004102466428425693
M1a 1980-2023 REDUCED FORM (headline: total effect),depth,22.259284918723043,3.1027592212848267,1.1593234008871198,2.676353482480023,0.007442810052245231
M1a 1980-2023 REDUCED FORM (headline: total effect),depth_x_dur,1.7308677804075285,0.5486228899188459,0.543392832342824,1.0096248188506143,0.3126750742115788
M1a 1980-2023 REDUCED FORM (headline: total effect),ln_tna,1.073639534820917,0.0710543110924049,0.03307305482785752,2.1484048408058047,0.03168160856925834
M1a 1980-2023 REDUCED FORM (headline: total effect),exp100,0.866359688433613,-0.14345511203983632,0.1468312828275299,-0.9770064612752904,0.32856595359290697
M1a 1980-2023 REDUCED FORM (headline: total effect),tenure,0.9200938877817694,-0.08327956220928981,0.02367612720477995,-3.5174486726222933,0.0004357166078743755
M1a 1980-2023 REDUCED FORM (headline: total effect),era_9509,2.1679858700133914,0.7737985660346621,0.5772257421681282,1.3405475700515075,0.18006738967264724
M1a 1980-2023 REDUCED FORM (headline: total effect),era_1023,0.45615282695364306,-0.7849273787887394,0.5850164434648224,-1.3417184893811243,0.17968728971584713
M1b 1980-2023 + AS mechanics (mediation evidence),const,553931.9878405745,13.224797192562372,1.4509186353915169,9.114775198261743,7.88337377058628e-20
M1b 1980-2023 + AS mechanics (mediation evidence),dur_3_4,1.0884223114498142,0.08472922702759052,0.22110581215796407,0.3832066927623668,0.7015665160026812
M1b 1980-2023 + AS mechanics (mediation evidence),dur_5_8,1.357268142033529,0.30547396047299796,0.21198572051273473,1.4410119687974317,0.14958130148206264
M1b 1980-2023 + AS mechanics (mediation evidence),dur_9_12,2.1268103514213808,0.7546233697705732,0.2858672515813022,2.6397685135191296,0.008296267318713016
M1b 1980-2023 + AS mechanics (mediation evidence),dur_13p,1.5090899954463273,0.41150681713681114,0.4836991380098724,0.8507495358166468,0.39490849974596887
M1b 1980-2023 + AS mechanics (mediation evidence),depth,0.19914096452325916,-1.613742340590827,1.1173788553157362,-1.4442212978290467,0.14867673581207339
M1b 1980-2023 + AS mechanics (mediation evidence),depth_x_dur,2.6834366147827815,0.9870982920028027,0.6158477384933984,1.602828475781411,0.10897252813995426
M1b 1980-2023 + AS mechanics (mediation evidence),ln_tna,1.0026686257929662,0.002665071333432089,0.03894843793714949,0.06842562820446546,0.9454468212795853
M1b 1980-2023 + AS mechanics (mediation evidence),exp100,0.856115518374565,-0.1553499605733568,0.19713083889062988,-0.7880550879182656,0.4306644840154895
M1b 1980-2023 + AS mechanics (mediation evidence),tenure,0.9607764432324529,-0.04001352638490267,0.02152502776143078,-1.8589303032909514,0.06303701812192791
M1b 1980-2023 + AS mechanics (mediation evidence),era_9509,1.1254935411440987,0.1182216426934514,0.7439511148148701,0.15891049874005564,0.8737393890083291
M1b 1980-2023 + AS mechanics (mediation evidence),era_1023,0.3604777159518149,-1.0203251384483947,0.7458496869030425,-1.3680037095477562,0.17131091496547401
M1b 1980-2023 + AS mechanics (mediation evidence),as_lag,5.01067233973353e-11,-23.716865917294072,1.775994037971625,-13.354135999454856,1.1205068202568405e-40
M1b 1980-2023 + AS mechanics (mediation evidence),das_lag,11.136622385982944,2.4102389915761835,3.6862558847248543,0.6538447321478026,0.5132118439151889
M2 2000-2023 reduced form + flows,const,0.0030578552452997887,-5.790041508992076,0.5093654015316482,-11.367166854249572,6.093339671900845e-30
M2 2000-2023 reduced form + flows,dur_3_4,1.8162087865188605,0.5967512441205277,0.23408200809445068,2.549325550384642,0.010793149449761442
M2 2000-2023 reduced form + flows,dur_5_8,3.26333722073042,1.182750359108662,0.22285563021911195,5.307249172685386,1.1129199556529934e-07
M2 2000-2023 reduced form + flows,dur_9_12,4.4225168884660935,1.4867089658045103,0.3507235257242451,4.238977019675119,2.2454063969202638e-05
M2 2000-2023 reduced form + flows,dur_13p,4.025318303173721,1.3926039892775908,0.5517177401300839,2.5241240003434418,0.011598700802737902
M2 2000-2023 reduced form + flows,depth,14.273423755055306,2.658399329484242,1.5011011818506892,1.7709661158262056,0.07656633654900831
M2 2000-2023 reduced form + flows,depth_x_dur,2.711170487108832,0.9973804557058797,0.7857836394419795,1.269281269859684,0.2043407642022549
M2 2000-2023 reduced form + flows,ln_tna,1.140579308919298,0.13153629905261263,0.04383759086473742,3.0005366731596395,0.0026950429826108325
M2 2000-2023 reduced form + flows,exp100,0.9515151117774758,-0.04969971031479878,0.19279730125373196,-0.2577821888149316,0.7965750113028781
M2 2000-2023 reduced form + flows,tenure,0.924193090862878,-0.07883425637690354,0.027789370552450128,-2.8368492991991463,0.004556111128155116
M2 2000-2023 reduced form + flows,era_1023,0.24117440118209624,-1.4222349508472454,0.17464242510421873,-8.14369675637818,3.8338869636341753e-16
M2 2000-2023 reduced form + flows,flow_lag,0.17769955729567574,-1.7276610351264032,0.6999647746852884,-2.4682113980709643,0.013579010035958978
M3 1980-2023 DEATH outcome (mode-selection test),const,0.07849629151948519,-2.5447038970997005,0.2693106850610842,-9.448952597341316,3.4223802310847504e-21
M3 1980-2023 DEATH outcome (mode-selection test),dur_3_4,1.8135936106164319,0.5953102971659555,0.09436947360245808,6.308293078689476,2.821295942009376e-10
M3 1980-2023 DEATH outcome (mode-selection test),dur_5_8,2.2965955425470113,0.8314278274658848,0.092723896926286,8.966704970638329,3.0551707896002073e-19
M3 1980-2023 DEATH outcome (mode-selection test),dur_9_12,2.5166957150032414,0.9229468169116047,0.11770870404237743,7.840939414126298,4.471881780883429e-15
M3 1980-2023 DEATH outcome (mode-selection test),dur_13p,1.8536122022386776,0.6171362771089006,0.1722704849343476,3.5823680263284317,0.000340493643410998
M3 1980-2023 DEATH outcome (mode-selection test),depth,0.4081977308046396,-0.8960035876501645,0.32292471895188724,-2.7746515985469067,0.005526087222951834
M3 1980-2023 DEATH outcome (mode-selection test),depth_x_dur,0.7459906400690491,-0.29304222568141913,0.15653100578002863,-1.8721033843814194,0.0611923018779358
M3 1980-2023 DEATH outcome (mode-selection test),ln_tna,0.6424931414142502,-0.44239913711137263,0.015562537378891631,-28.42718551226898,9.330956647226357e-178
M3 1980-2023 DEATH outcome (mode-selection test),exp100,0.9852697783072497,-0.014839788703792819,0.044008189898936734,-0.33720515971849496,0.7359622479592507
M3 1980-2023 DEATH outcome (mode-selection test),tenure,0.967985247384301,-0.032538432127168865,0.00683693619386091,-4.759212490001896,1.94349748548631e-06
M3 1980-2023 DEATH outcome (mode-selection test),era_9509,0.8081436067150115,-0.21301550517040435,0.24119161497433697,-0.8831795632409087,0.3771392616801984
M3 1980-2023 DEATH outcome (mode-selection test),era_1023,0.708886833614996,-0.3440593792729144,0.23968694026394527,-1.4354531744367605,0.151158002658159
