form_year,n_funds,median_bps,p10_bps,p90_bps,spread_bps,within_cat_spread_bps
1990,26,88.0,59.2,169.5,110.2,84.2
1991,759,119.0,62.4,220.2,157.8,138.4
1992,996,125.0,65.0,211.2,146.2,131.9
1993,1114,125.0,66.0,209.2,143.2,126.7
1994,1269,130.0,75.0,213.0,138.0,128.6
1995,1394,131.5,77.0,216.0,139.0,126.8
1996,1489,135.0,80.0,213.0,133.0,121.8
1997,1248,129.0,73.7,206.0,132.3,117.3
1998,2028,130.0,75.9,207.0,131.1,118.3
1999,2312,135.0,79.1,209.0,129.9,117.7
2000,2425,140.0,80.0,214.8,134.8,123.1
2001,2629,145.0,85.0,224.0,139.0,130.4
2002,2703,150.0,86.6,227.4,140.8,125.9
2003,2663,147.5,85.0,219.8,134.8,117.4
2004,2671,142.0,82.0,215.0,133.0,119.3
2005,2687,137.5,80.0,203.7,123.7,109.1
2006,2741,132.0,77.5,198.0,120.5,103.3
2007,2891,127.5,72.5,191.0,118.5,103.3
2008,2816,128.0,68.0,192.0,124.0,99.4
2009,2676,126.0,58.8,186.0,127.2,97.5
2010,2615,124.0,58.4,178.0,119.6,103.2
2011,2557,121.5,58.0,174.0,116.0,93.1
2012,2562,119.0,57.0,172.5,115.5,90.0
2013,2564,115.0,53.3,169.0,115.7,93.6
2014,2667,114.0,51.8,165.5,113.7,89.6
2015,2788,112.0,41.0,162.5,121.5,87.7
2016,2859,107.5,37.5,161.0,123.5,88.0
2017,2874,102.5,36.5,154.0,117.5,86.7
2018,2819,100.0,37.0,150.0,113.0,89.4
2019,2754,98.0,35.0,149.0,114.0,89.5
2020,2629,96.0,38.0,146.6,108.6,79.1
2021,2597,93.5,34.0,144.0,110.0,85.6
2022,2576,93.0,35.0,143.8,108.8,84.6
2023,2512,92.0,34.0,143.0,109.0,93.2
2024,2419,90.0,33.4,140.6,107.2,93.9
2025,2265,90.0,33.0,139.3,106.3,93.4
