rule,hold_years,hold_year,n_funds,period_return_pct,wealth_10k
R1_top_decile_trailing_12m,1,1991,4,26.111,12611.057
R1_top_decile_trailing_12m,1,1992,80,7.687,13580.486
R1_top_decile_trailing_12m,1,1993,105,20.057,16304.372
R1_top_decile_trailing_12m,1,1994,116,-1.342,16085.544
R1_top_decile_trailing_12m,1,1995,132,27.464,20503.352
R1_top_decile_trailing_12m,1,1996,144,19.626,24527.314
R1_top_decile_trailing_12m,1,1997,155,22.509,30048.256
R1_top_decile_trailing_12m,1,1998,128,13.42,34080.717
R1_top_decile_trailing_12m,1,1999,209,44.27,49168.379
R1_top_decile_trailing_12m,1,2000,237,-12.561,42992.497
R1_top_decile_trailing_12m,1,2001,248,2.433,44038.674
R1_top_decile_trailing_12m,1,2002,269,-10.976,39205.143
R1_top_decile_trailing_12m,1,2003,276,25.648,49260.623
R1_top_decile_trailing_12m,1,2004,271,14.841,56571.389
R1_top_decile_trailing_12m,1,2005,273,10.921,62749.533
R1_top_decile_trailing_12m,1,2006,274,14.459,71822.497
R1_top_decile_trailing_12m,1,2007,279,4.737,75224.702
R1_top_decile_trailing_12m,1,2008,295,-43.063,42830.759
R1_top_decile_trailing_12m,1,2009,289,20.793,51736.685
R1_top_decile_trailing_12m,1,2010,275,21.663,62944.307
R1_top_decile_trailing_12m,1,2011,269,-4.001,60426.07
R1_top_decile_trailing_12m,1,2012,264,12.845,68187.927
R1_top_decile_trailing_12m,1,2013,263,30.718,89134.1
R1_top_decile_trailing_12m,1,2014,262,7.443,95768.021
R1_top_decile_trailing_12m,1,2015,274,-1.053,94759.699
R1_top_decile_trailing_12m,1,2016,287,5.362,99841.006
R1_top_decile_trailing_12m,1,2017,294,11.638,111460.904
R1_top_decile_trailing_12m,1,2018,296,-5.292,105562.192
R1_top_decile_trailing_12m,1,2019,289,22.469,129281.366
R1_top_decile_trailing_12m,1,2020,282,28.746,166444.396
R1_top_decile_trailing_12m,1,2021,269,12.571,187367.933
R1_top_decile_trailing_12m,1,2022,266,-11.208,166368.196
R1_top_decile_trailing_12m,1,2023,264,10.456,183764.322
R1_top_decile_trailing_12m,1,2024,258,21.416,223118.871
R1_top_decile_trailing_12m,1,2025,249,17.1,261273.001
R1_top_decile_trailing_12m,1,2026,233,16.997,305680.389
R1_top_decile_trailing_12m,3,1993,4,46.218,14621.806
R1_top_decile_trailing_12m,3,1996,116,40.358,20522.9
R1_top_decile_trailing_12m,3,1999,155,64.699,33801.095
R1_top_decile_trailing_12m,3,2002,237,-51.094,16530.694
R1_top_decile_trailing_12m,3,2005,276,53.169,25319.916
R1_top_decile_trailing_12m,3,2008,274,-24.465,19125.28
R1_top_decile_trailing_12m,3,2011,289,36.307,26069.038
R1_top_decile_trailing_12m,3,2014,264,54.154,40186.371
R1_top_decile_trailing_12m,3,2017,274,28.827,51771.044
R1_top_decile_trailing_12m,3,2020,296,65.928,85902.572
R1_top_decile_trailing_12m,3,2023,269,-1.323,84765.799
R1_top_decile_trailing_12m,3,2026,258,56.71,132836.726
R1_top_decile_trailing_12m,5,1995,4,84.809,18480.872
R1_top_decile_trailing_12m,5,2000,144,114.305,39605.52
R1_top_decile_trailing_12m,5,2005,248,43.807,56955.603
R1_top_decile_trailing_12m,5,2010,274,23.43,70300.498
R1_top_decile_trailing_12m,5,2015,269,45.198,102075.236
R1_top_decile_trailing_12m,5,2020,287,95.046,199093.395
R1_top_decile_trailing_12m,5,2025,269,37.817,274384.191
R1_top_decile_trailing_12m,5,2030,233,16.997,321020.028
R2_cheapest_decile_fee,1,1991,4,28.202,12820.155
R2_cheapest_decile_fee,1,1992,82,7.079,13727.742
R2_cheapest_decile_fee,1,1993,107,12.778,15481.913
R2_cheapest_decile_fee,1,1994,116,-0.229,15446.489
R2_cheapest_decile_fee,1,1995,133,28.618,19866.974
R2_cheapest_decile_fee,1,1996,147,17.558,23355.202
R2_cheapest_decile_fee,1,1997,156,21.137,28291.813
R2_cheapest_decile_fee,1,1998,130,13.713,32171.535
R2_cheapest_decile_fee,1,1999,209,19.996,38604.458
R2_cheapest_decile_fee,1,2000,238,1.147,39047.347
R2_cheapest_decile_fee,1,2001,251,-6.774,36402.208
R2_cheapest_decile_fee,1,2002,270,-17.204,30139.583
R2_cheapest_decile_fee,1,2003,277,28.419,38705.047
R2_cheapest_decile_fee,1,2004,273,12.808,43662.333
R2_cheapest_decile_fee,1,2005,273,7.635,46996.038
R2_cheapest_decile_fee,1,2006,275,13.464,53323.536
R2_cheapest_decile_fee,1,2007,280,6.496,56787.387
R2_cheapest_decile_fee,1,2008,296,-35.216,36788.976
R2_cheapest_decile_fee,1,2009,291,28.851,47403.086
R2_cheapest_decile_fee,1,2010,278,16.374,55164.835
R2_cheapest_decile_fee,1,2011,272,-1.035,54593.91
R2_cheapest_decile_fee,1,2012,265,13.318,61864.627
R2_cheapest_decile_fee,1,2013,266,24.595,77079.94
R2_cheapest_decile_fee,1,2014,264,7.358,82751.481
R2_cheapest_decile_fee,1,2015,276,-1.06,81873.902
R2_cheapest_decile_fee,1,2016,290,10.099,90142.335
R2_cheapest_decile_fee,1,2017,298,17.259,105699.556
R2_cheapest_decile_fee,1,2018,298,-6.88,98426.969
R2_cheapest_decile_fee,1,2019,292,23.966,122016.406
R2_cheapest_decile_fee,1,2020,285,14.384,139567.144
R2_cheapest_decile_fee,1,2021,272,19.058,166166.204
R2_cheapest_decile_fee,1,2022,268,-14.617,141878.298
R2_cheapest_decile_fee,1,2023,265,16.61,165443.689
R2_cheapest_decile_fee,1,2024,261,12.856,186713.667
R2_cheapest_decile_fee,1,2025,251,14.932,214594.002
R2_cheapest_decile_fee,1,2026,234,11.098,238410.473
R2_cheapest_decile_fee,3,1993,4,56.454,15645.382
R2_cheapest_decile_fee,3,1996,116,48.97,23306.95
R2_cheapest_decile_fee,3,1999,156,67.813,39112.158
R2_cheapest_decile_fee,3,2002,238,-21.594,30666.396
R2_cheapest_decile_fee,3,2005,277,53.791,47162.019
R2_cheapest_decile_fee,3,2008,275,-20.992,37261.876
R2_cheapest_decile_fee,3,2011,291,48.476,55324.82
R2_cheapest_decile_fee,3,2014,265,52.648,84452.197
R2_cheapest_decile_fee,3,2017,276,27.309,107515.604
R2_cheapest_decile_fee,3,2020,298,32.007,141928.367
R2_cheapest_decile_fee,3,2023,272,18.745,168533.412
R2_cheapest_decile_fee,3,2026,261,44.348,243273.897
R2_cheapest_decile_fee,5,1995,4,100.996,20099.63
R2_cheapest_decile_fee,5,2000,147,98.207,39838.905
R2_cheapest_decile_fee,5,2005,251,19.042,47425.165
R2_cheapest_decile_fee,5,2010,275,19.09,56478.765
R2_cheapest_decile_fee,5,2015,272,50.884,85217.585
R2_cheapest_decile_fee,5,2020,290,69.698,144612.536
R2_cheapest_decile_fee,5,2025,272,56.006,225604.205
R2_cheapest_decile_fee,5,2030,234,11.098,250642.631
R3_whole_universe,1,1991,26,25.034,12503.417
