arm,decile,alpha_pct_yr,t_stat,months,avg_n_funds
1_pooled_CAPM_2000_2015,1,0.158,0.314,192,274.344
1_pooled_CAPM_2000_2015,2,0.35,0.567,192,274.354
1_pooled_CAPM_2000_2015,3,0.996,1.547,192,273.542
1_pooled_CAPM_2000_2015,4,0.732,1.077,192,273.833
1_pooled_CAPM_2000_2015,5,0.465,0.619,192,271.526
1_pooled_CAPM_2000_2015,6,0.422,0.536,192,272.396
1_pooled_CAPM_2000_2015,7,-0.035,-0.04,192,271.224
1_pooled_CAPM_2000_2015,8,-0.225,-0.252,192,271.234
1_pooled_CAPM_2000_2015,9,-1.032,-1.165,192,267.438
1_pooled_CAPM_2000_2015,10,-1.42,-1.423,192,264.219
1_pooled_CAPM_2000_2015,0,0.203,0.296,192,
2_withincat_CAPM_2000_2015,1,0.609,1.041,192,275.708
2_withincat_CAPM_2000_2015,2,0.582,0.901,192,268.786
2_withincat_CAPM_2000_2015,3,0.702,1.034,192,268.635
2_withincat_CAPM_2000_2015,4,0.487,0.695,192,269.177
2_withincat_CAPM_2000_2015,5,0.676,0.957,192,269.844
2_withincat_CAPM_2000_2015,6,-0.031,-0.042,192,265.328
2_withincat_CAPM_2000_2015,7,-0.013,-0.016,192,266.047
2_withincat_CAPM_2000_2015,8,-0.232,-0.303,192,266.677
2_withincat_CAPM_2000_2015,9,-0.788,-1.013,192,261.917
2_withincat_CAPM_2000_2015,10,-1.159,-1.318,192,266.245
2_withincat_CAPM_2000_2015,0,0.221,0.32,192,
3_pooled_CAPM_full,1,-0.745,-2.154,432,231.688
3_pooled_CAPM_full,2,-0.865,-2.022,432,231.722
3_pooled_CAPM_full,3,-0.407,-0.927,432,232.556
3_pooled_CAPM_full,4,-0.886,-1.971,432,232.236
3_pooled_CAPM_full,5,-1.275,-2.452,432,231.213
3_pooled_CAPM_full,6,-1.682,-2.852,432,231.132
3_pooled_CAPM_full,7,-1.863,-2.818,432,230.618
3_pooled_CAPM_full,8,-2.044,-3.128,432,229.697
3_pooled_CAPM_full,9,-2.365,-3.652,428,228.977
3_pooled_CAPM_full,10,-2.821,-3.998,428,226.199
3_pooled_CAPM_full,0,-1.35,-2.857,432,
4_withincat_CAPM_full,1,-0.803,-1.994,432,231.669
4_withincat_CAPM_full,2,-1.134,-2.547,432,225.373
4_withincat_CAPM_full,3,-0.962,-2.051,432,225.461
4_withincat_CAPM_full,4,-1.117,-2.428,432,225.78
4_withincat_CAPM_full,5,-1.382,-2.752,432,227.118
4_withincat_CAPM_full,6,-1.712,-2.967,432,222.868
4_withincat_CAPM_full,7,-1.526,-2.84,432,223.322
4_withincat_CAPM_full,8,-1.832,-3.281,432,224.118
4_withincat_CAPM_full,9,-2.105,-3.779,429,222.562
4_withincat_CAPM_full,10,-2.736,-4.548,428,225.131
4_withincat_CAPM_full,0,-1.397,-2.925,432,
5_withincat_CAPM_2010on,1,-1.804,-3.049,192,268.448
5_withincat_CAPM_2010on,2,-2.429,-3.813,192,260.219
5_withincat_CAPM_2010on,3,-2.179,-3.546,192,259.969
5_withincat_CAPM_2010on,4,-2.286,-3.83,192,261.865
5_withincat_CAPM_2010on,5,-2.225,-3.637,192,263.068
5_withincat_CAPM_2010on,6,-2.807,-4.299,192,258.839
5_withincat_CAPM_2010on,7,-2.894,-4.147,192,259.839
5_withincat_CAPM_2010on,8,-3.295,-4.695,192,259.255
5_withincat_CAPM_2010on,9,-3.173,-4.4,192,258.385
5_withincat_CAPM_2010on,10,-3.723,-5.087,192,259.599
5_withincat_CAPM_2010on,0,-2.566,-4.063,192,
6_withincat_multifactor_full,1,-0.872,-2.644,432,231.669
6_withincat_multifactor_full,2,-1.161,-3.09,432,225.373
6_withincat_multifactor_full,3,-1.014,-2.53,432,225.461
6_withincat_multifactor_full,4,-1.12,-3.092,432,225.78
6_withincat_multifactor_full,5,-1.404,-3.459,432,227.118
6_withincat_multifactor_full,6,-1.717,-3.674,432,222.868
6_withincat_multifactor_full,7,-1.479,-3.672,432,223.322
6_withincat_multifactor_full,8,-1.798,-4.225,432,224.118
6_withincat_multifactor_full,9,-2.102,-5.192,429,222.562
6_withincat_multifactor_full,10,-2.61,-6.195,428,225.131
6_withincat_multifactor_full,0,-1.403,-3.798,432,
