horizon,K,measure,bps,lo,hi,n_years,excl_zero
5,3,gross,4.1,-43.7,70.8,31,False
5,3,net,-37.2,-139.5,20.6,31,False
5,5,gross,-18.5,-124.3,53.4,31,False
5,5,net,-86.0,-154.8,-26.4,31,True
5,10,gross,-37.5,-127.8,47.6,30,False
5,10,net,-90.5,-185.2,9.0,30,False
5,15,gross,-44.5,-104.5,53.1,30,False
5,15,net,-118.3,-281.3,14.0,30,False
5,20,gross,-49.4,-133.9,17.3,30,False
5,20,net,-131.9,-240.4,-15.0,30,True
10,3,gross,11.8,-46.9,41.1,26,False
10,3,net,-29.0,-112.9,2.1,26,False
10,5,gross,-20.0,-143.4,37.2,26,False
10,5,net,-85.6,-248.0,-37.0,26,True
10,10,gross,-86.1,-152.0,28.5,25,False
10,10,net,-146.9,-231.2,-44.1,25,True
10,15,gross,-33.7,-137.4,26.3,25,False
10,15,net,-160.7,-330.4,-63.7,25,True
10,20,gross,-102.4,-166.0,14.0,25,False
10,20,net,-165.6,-255.4,-76.5,25,True
