horizon,K,measure,bps,lo,hi,n_years,excl_zero
5,3,gross,47.4,-6.1,107.1,21,False
5,3,net,-15.7,-78.0,64.7,21,False
5,5,gross,22.0,-20.7,107.0,21,False
5,5,net,-35.3,-91.2,54.4,21,False
5,10,gross,-1.8,-70.6,106.7,21,False
5,10,net,-79.8,-168.8,58.0,21,False
5,15,gross,-25.2,-86.5,63.1,21,False
5,15,net,-95.7,-173.3,15.1,21,False
5,20,gross,-51.0,-114.4,-2.2,21,True
5,20,net,-124.2,-226.9,-33.9,21,True
10,3,gross,38.4,7.1,90.2,16,True
10,3,net,-11.7,-56.1,38.8,16,False
10,5,gross,21.3,-27.6,101.7,16,False
10,5,net,-57.9,-86.9,55.1,16,False
10,10,gross,6.4,-88.1,116.7,16,False
10,10,net,-62.6,-150.3,16.3,16,False
10,15,gross,-6.6,-86.8,28.5,16,False
10,15,net,-80.9,-160.7,-35.1,16,True
10,20,gross,-59.1,-129.7,32.7,16,False
10,20,net,-127.4,-217.2,-63.7,16,True
