sleeve,draw,menus,sample,measure,gradient_bps,lo,hi,n_years,excl_zero
crsp_obj_cd,TNA-wtd,all,all,4-factor alpha,-27.6,-58.7,13.5,32,False
crsp_obj_cd,TNA-wtd,all,all,CAPM alpha,-54.0,-112.7,32.8,32,False
crsp_obj_cd,TNA-wtd,all,all,raw net 5y (ann.),-57.6,-154.3,-33.1,30,True
crsp_obj_cd,TNA-wtd,all,post-2000,4-factor alpha,-30.8,-55.1,6.8,23,False
crsp_obj_cd,TNA-wtd,all,post-2000,CAPM alpha,-59.6,-142.1,14.0,23,False
crsp_obj_cd,TNA-wtd,all,post-2000,raw net 5y (ann.),-61.2,-178.7,-43.7,21,True
crsp_obj_cd,TNA-wtd,index-free,all,4-factor alpha,-33.2,-63.0,14.3,32,False
crsp_obj_cd,TNA-wtd,index-free,all,CAPM alpha,-50.9,-91.5,24.8,32,False
crsp_obj_cd,TNA-wtd,index-free,all,raw net 5y (ann.),-4.0,-56.8,81.4,30,False
crsp_obj_cd,TNA-wtd,index-free,post-2000,4-factor alpha,-43.4,-75.3,17.6,23,False
crsp_obj_cd,TNA-wtd,index-free,post-2000,CAPM alpha,-59.2,-105.0,10.8,23,False
crsp_obj_cd,TNA-wtd,index-free,post-2000,raw net 5y (ann.),-19.0,-69.1,56.1,21,False
crsp_obj_cd,uniform,all,all,4-factor alpha,-29.8,-66.9,-5.0,32,True
crsp_obj_cd,uniform,all,all,CAPM alpha,-61.9,-133.4,-10.3,32,True
crsp_obj_cd,uniform,all,all,raw net 5y (ann.),-112.8,-178.2,-79.0,30,True
crsp_obj_cd,uniform,all,post-2000,4-factor alpha,-32.3,-79.1,-8.7,23,True
crsp_obj_cd,uniform,all,post-2000,CAPM alpha,-59.5,-141.4,2.2,23,False
crsp_obj_cd,uniform,all,post-2000,raw net 5y (ann.),-112.0,-142.2,-82.7,21,True
crsp_obj_cd,uniform,index-free,all,4-factor alpha,-6.3,-49.3,41.0,32,False
crsp_obj_cd,uniform,index-free,all,CAPM alpha,-20.5,-65.9,14.8,32,False
crsp_obj_cd,uniform,index-free,all,raw net 5y (ann.),-47.9,-87.5,20.0,30,False
crsp_obj_cd,uniform,index-free,post-2000,4-factor alpha,1.4,-49.3,51.8,23,False
crsp_obj_cd,uniform,index-free,post-2000,CAPM alpha,-20.9,-40.0,-0.8,23,True
crsp_obj_cd,uniform,index-free,post-2000,raw net 5y (ann.),-30.8,-75.5,28.0,21,False
lip,TNA-wtd,all,all,4-factor alpha,-26.3,-56.5,-7.8,24,True
lip,TNA-wtd,all,all,CAPM alpha,-41.5,-91.9,-29.9,24,True
lip,TNA-wtd,all,all,raw net 5y (ann.),-95.2,-159.0,-35.5,22,True
lip,TNA-wtd,all,post-2000,4-factor alpha,-23.8,-56.5,-5.7,23,True
lip,TNA-wtd,all,post-2000,CAPM alpha,-34.3,-77.9,-0.1,23,True
lip,TNA-wtd,all,post-2000,raw net 5y (ann.),-94.3,-155.2,-35.5,21,True
lip,TNA-wtd,index-free,all,4-factor alpha,-40.2,-64.2,-15.7,24,True
lip,TNA-wtd,index-free,all,CAPM alpha,-66.0,-88.6,-9.0,24,True
lip,TNA-wtd,index-free,all,raw net 5y (ann.),-88.6,-144.2,-66.5,22,True
lip,TNA-wtd,index-free,post-2000,4-factor alpha,-41.3,-64.2,-21.6,23,True
lip,TNA-wtd,index-free,post-2000,CAPM alpha,-68.4,-99.2,-9.0,23,True
lip,TNA-wtd,index-free,post-2000,raw net 5y (ann.),-82.7,-137.3,-66.5,21,True
