spec,component,gradient_bps,n_years,t_iid,t_nw,ac1,n_nonoverlap,t_nonoverlap
crsp/all menus [all],4-fa A net,-72.69,32,-2.92,-2.53,0.02,7,-1.86
crsp/all menus [all],4-fa A gross,-46.73,32,-1.84,-1.56,0.03,7,-1.08
crsp/all menus [all],4-fa D net,-72.09,35,-3.03,-2.78,-0.01,7,-1.7
crsp/all menus [all],4-fa D gross,-33.26,35,-1.38,-1.27,-0.02,7,-0.72
crsp/all menus [all],fee-gap D,41.33,35,16.6,10.12,0.69,7,4.29
crsp/all menus [all],CAPM A net,-88.06,32,-2.62,-2.42,-0.01,7,-1.89
crsp/all menus [all],CAPM A gross,-62.1,32,-1.82,-1.63,0.01,7,-1.19
crsp/all menus [all],CAPM D net,-91.78,35,-2.65,-2.55,-0.0,7,-1.71
crsp/all menus [all],CAPM D gross,-52.94,35,-1.51,-1.43,0.01,7,-0.88
crsp/all menus [post-2000],4-fa A net,-85.1,23,-3.26,-2.53,0.21,5,-0.95
crsp/all menus [post-2000],4-fa A gross,-62.52,23,-2.33,-1.77,0.23,5,-0.69
crsp/all menus [post-2000],4-fa D net,-72.73,26,-2.96,-2.33,0.22,6,-0.91
crsp/all menus [post-2000],4-fa D gross,-38.55,26,-1.55,-1.22,0.22,6,-0.49
crsp/all menus [post-2000],fee-gap D,37.61,26,15.62,9.37,0.62,6,9.57
crsp/all menus [post-2000],CAPM A net,-99.79,23,-2.51,-2.07,0.17,5,-0.59
crsp/all menus [post-2000],CAPM A gross,-77.21,23,-1.9,-1.53,0.19,5,-0.46
crsp/all menus [post-2000],CAPM D net,-86.1,26,-2.11,-1.8,0.17,6,-0.54
crsp/all menus [post-2000],CAPM D gross,-51.92,26,-1.26,-1.05,0.18,6,-0.33
crsp/index-free [all],4-fa A net,-34.2,32,-1.5,-2.11,-0.14,7,-0.62
crsp/index-free [all],4-fa A gross,-7.74,32,-0.34,-0.48,-0.13,7,-0.14
crsp/index-free [all],4-fa D net,-41.91,35,-2.01,-2.81,-0.22,7,-0.74
crsp/index-free [all],4-fa D gross,-4.51,35,-0.22,-0.32,-0.22,7,-0.08
crsp/index-free [all],fee-gap D,40.2,35,19.44,15.32,0.42,7,4.93
crsp/index-free [all],CAPM A net,-39.09,32,-1.6,-2.33,-0.26,7,-0.85
crsp/index-free [all],CAPM A gross,-12.63,32,-0.52,-0.76,-0.26,7,-0.27
crsp/index-free [all],CAPM D net,-49.89,35,-2.12,-2.8,-0.28,7,-1.06
crsp/index-free [all],CAPM D gross,-12.48,35,-0.53,-0.73,-0.28,7,-0.26
crsp/index-free [post-2000],4-fa A net,-23.43,23,-1.22,-1.69,0.06,5,-0.76
crsp/index-free [post-2000],4-fa A gross,1.96,23,0.1,0.14,0.09,5,0.07
crsp/index-free [post-2000],4-fa D net,-27.56,26,-1.64,-2.38,-0.01,6,-1.34
crsp/index-free [post-2000],4-fa D gross,7.17,26,0.43,0.68,0.01,6,0.33
crsp/index-free [post-2000],fee-gap D,38.35,26,18.29,15.45,0.21,6,11.38
crsp/index-free [post-2000],CAPM A net,-25.48,23,-1.14,-1.44,0.02,5,-0.35
crsp/index-free [post-2000],CAPM A gross,-0.09,23,-0.0,-0.01,0.05,5,-0.0
crsp/index-free [post-2000],CAPM D net,-25.87,26,-1.23,-1.52,-0.03,6,-0.38
crsp/index-free [post-2000],CAPM D gross,8.86,26,0.42,0.5,-0.02,6,0.13
lipper/all menus [all],4-fa A net,-55.7,24,-3.85,-4.36,-0.08,5,-1.51
lipper/all menus [all],4-fa A gross,-28.33,24,-1.91,-1.85,0.03,5,-0.78
lipper/all menus [all],4-fa D net,-60.47,27,-4.07,-4.81,-0.11,6,-1.64
lipper/all menus [all],4-fa D gross,-22.63,27,-1.56,-1.7,-0.07,6,-0.65
lipper/all menus [all],fee-gap D,41.43,27,17.8,9.47,0.76,6,11.17
lipper/all menus [all],CAPM A net,-66.12,24,-3.42,-3.02,0.13,5,-1.33
lipper/all menus [all],CAPM A gross,-38.75,24,-1.92,-1.53,0.24,5,-0.79
lipper/all menus [all],CAPM D net,-69.77,27,-3.32,-3.11,0.1,6,-1.34
lipper/all menus [all],CAPM D gross,-31.93,27,-1.49,-1.28,0.16,6,-0.64
