K,tau_real,tau_rand,fee_cheap,fee_hot,fee_rand,gap_real,gap_rand,one_over_K,excess_tau_pp,gap_excess_bps
2,53.111,50.242,54.077,77.837,78.92,23.76,24.843,50.0,3.111,-1.083
3,35.759,33.389,43.678,80.009,80.414,36.33,36.736,33.333,2.426,-0.406
4,26.78,25.163,37.944,81.954,81.78,44.01,43.836,25.0,1.78,0.174
5,21.138,20.1,34.094,83.748,83.088,49.654,48.993,20.0,1.138,0.66
6,17.709,16.577,31.421,84.84,84.028,53.419,52.607,16.667,1.043,0.812
8,13.213,12.585,28.097,87.255,85.786,59.158,57.689,12.5,0.713,1.469
10,10.459,10.055,25.846,89.095,87.28,63.248,61.434,10.0,0.459,1.815
12,8.631,8.395,24.342,90.662,88.531,66.319,64.188,8.333,0.298,2.131
15,6.684,6.624,22.698,93.062,90.372,70.364,67.674,6.667,0.017,2.69
20,4.757,5.003,20.961,95.965,92.583,75.004,71.622,5.0,-0.243,3.382
25,3.622,4.048,19.925,98.244,94.685,78.32,74.76,4.0,-0.378,3.56
