K,tau_real,tau_rand,fee_cheap,fee_hot,fee_rand,gap_real,gap_rand,one_over_K,excess_tau_pp,gap_excess_bps
2,51.784,49.955,88.332,109.914,111.288,21.582,22.956,50.0,1.784,-1.374
3,34.932,33.395,78.451,110.892,112.197,32.441,33.746,33.333,1.599,-1.305
4,26.536,24.924,72.281,111.358,113.224,39.077,40.943,25.0,1.536,-1.866
5,21.221,20.069,67.848,112.085,113.655,44.237,45.807,20.0,1.221,-1.569
6,17.973,16.677,64.769,112.509,114.298,47.74,49.529,16.667,1.306,-1.789
8,13.382,12.563,60.133,113.879,115.155,53.745,55.022,12.5,0.882,-1.276
10,10.573,9.974,56.879,115.161,116.086,58.282,59.207,10.0,0.573,-0.925
12,8.614,8.276,54.432,116.442,116.868,62.01,62.436,8.333,0.28,-0.425
15,6.461,6.686,51.669,118.286,117.923,66.618,66.254,6.667,-0.206,0.364
20,4.437,5.092,48.503,121.725,120.043,73.222,71.539,5.0,-0.563,1.682
25,3.366,4.063,46.233,124.75,122.045,78.517,75.812,4.0,-0.634,2.705
