K,tau_real,tau_rand,fee_cheap,fee_hot,fee_rand,gap_real,gap_rand,one_over_K,excess_tau_pp,gap_excess_bps
2,52.871,49.914,52.658,73.645,75.342,20.987,22.684,50.0,2.871,-1.697
3,35.656,33.234,42.848,75.144,76.367,32.296,33.519,33.333,2.323,-1.223
4,26.474,24.974,36.848,76.813,77.125,39.965,40.276,25.0,1.474,-0.312
5,20.861,19.965,32.89,78.382,77.892,45.492,45.002,20.0,0.861,0.49
6,17.151,16.809,30.023,79.703,78.544,49.68,48.522,16.667,0.485,1.159
8,12.243,12.472,26.088,82.165,79.871,56.077,53.784,12.5,-0.257,2.293
10,9.453,9.957,23.592,83.911,81.105,60.319,57.513,10.0,-0.547,2.806
12,7.627,8.346,21.823,85.364,81.986,63.542,60.163,8.333,-0.706,3.378
15,5.883,6.622,19.913,87.083,83.428,67.17,63.515,6.667,-0.784,3.655
20,4.292,4.999,17.924,89.352,85.313,71.428,67.389,5.0,-0.708,4.039
25,3.344,3.992,16.738,91.264,86.972,74.526,70.234,4.0,-0.656,4.291
