K,tau_real,tau_rand,fee_cheap,fee_hot,fee_rand,gap_real,gap_rand,one_over_K,excess_tau_pp,gap_excess_bps
2,51.113,49.905,77.469,95.057,96.38,17.588,18.911,50.0,1.113,-1.323
3,34.864,33.419,68.415,95.172,96.697,26.756,28.282,33.333,1.531,-1.526
4,26.446,24.845,62.753,95.594,97.188,32.842,34.436,25.0,1.446,-1.594
5,21.244,20.091,58.579,96.003,97.556,37.424,38.978,20.0,1.244,-1.553
6,17.513,16.807,55.354,96.553,97.871,41.199,42.517,16.667,0.846,-1.318
8,12.878,12.552,50.695,97.466,98.416,46.771,47.72,12.5,0.378,-0.95
10,9.773,10.076,47.46,98.485,98.997,51.025,51.537,10.0,-0.227,-0.512
12,7.735,8.304,45.046,99.403,99.641,54.357,54.595,8.333,-0.598,-0.238
15,5.817,6.682,42.307,100.526,100.318,58.219,58.011,6.667,-0.849,0.208
20,4.111,4.988,39.205,102.681,101.792,63.476,62.587,5.0,-0.889,0.889
25,3.281,3.98,37.24,104.918,103.124,67.677,65.883,4.0,-0.719,1.794
