bar,sample,era,k,km,aj,aj_death,n
0.7,all events,1995-2009,8,0.1755,0.1654,0.1061,321
0.7,all events,1995-2009,16,0.2827,0.2533,0.1971,321
0.7,all events,1995-2009,24,0.3819,0.3224,0.2882,321
0.7,all events,2010-23,8,0.126,0.1161,0.1327,175
0.7,all events,2010-23,16,0.2021,0.1802,0.216,175
0.7,all events,2010-23,24,0.2628,0.222,0.3216,175
0.7,1995+,1995-2009,8,0.1734,0.1633,0.1068,319
0.7,1995+,1995-2009,16,0.2814,0.2518,0.1983,319
0.7,1995+,1995-2009,24,0.3815,0.3213,0.29,319
0.7,1995+,2010-23,8,0.126,0.1161,0.1327,175
0.7,1995+,2010-23,16,0.2021,0.1802,0.216,175
0.7,1995+,2010-23,24,0.2628,0.222,0.3216,175
0.75,all events,1995-2009,8,0.1064,0.0999,0.1092,321
0.75,all events,1995-2009,16,0.1832,0.1626,0.219,321
0.75,all events,1995-2009,24,0.2473,0.2066,0.3163,321
0.75,all events,2010-23,8,0.0917,0.0852,0.1327,175
0.75,all events,2010-23,16,0.1611,0.143,0.2228,175
0.75,all events,2010-23,24,0.1942,0.1657,0.3267,175
0.75,1995+,1995-2009,8,0.1039,0.0974,0.1099,319
0.75,1995+,1995-2009,16,0.1812,0.1605,0.2204,319
0.75,1995+,1995-2009,24,0.2459,0.2048,0.3183,319
0.75,1995+,2010-23,8,0.0917,0.0852,0.1327,175
0.75,1995+,2010-23,16,0.1611,0.143,0.2228,175
0.75,1995+,2010-23,24,0.1942,0.1657,0.3267,175
0.8,all events,1995-2009,8,0.0496,0.0468,0.1092,321
0.8,all events,1995-2009,16,0.0995,0.0876,0.2284,321
0.8,all events,1995-2009,24,0.1312,0.1095,0.3382,321
0.8,all events,2010-23,8,0.0787,0.0731,0.1326,175
0.8,all events,2010-23,16,0.1274,0.112,0.2224,175
0.8,all events,2010-23,24,0.1611,0.1352,0.3265,175
0.8,1995+,1995-2009,8,0.0467,0.044,0.1099,319
0.8,1995+,1995-2009,16,0.0969,0.085,0.2298,319
0.8,1995+,1995-2009,24,0.1289,0.1071,0.3403,319
0.8,1995+,2010-23,8,0.0787,0.0731,0.1326,175
0.8,1995+,2010-23,16,0.1274,0.112,0.2224,175
0.8,1995+,2010-23,24,0.1611,0.1352,0.3265,175
