bar,step,era,k8,k16,k24
0.7,KM  | wall-censored | all  (= 37b),1995-2009,0.1854,0.3013,0.408
0.7,KM  | wall-censored | all  (= 37b),2010-23,0.1285,0.2072,0.2689
0.7,AJ  | wall-censored | all  (estimator only),1995-2009,0.1854,0.3013,0.4068
0.7,AJ  | wall-censored | all  (estimator only),2010-23,0.126,0.2027,0.2615
0.7,AJ  | death-extended| all  (the death clock),1995-2009,0.1654,0.2533,0.3224
0.7,AJ  | death-extended| all  (the death clock),2010-23,0.1161,0.1802,0.222
0.7,AJ  | death-extended| 1995+ (= 37d),1995-2009,0.1633,0.2518,0.3213
0.7,AJ  | death-extended| 1995+ (= 37d),2010-23,0.1161,0.1802,0.222
0.75,KM  | wall-censored | all  (= 37b),1995-2009,0.1134,0.1969,0.2668
0.75,KM  | wall-censored | all  (= 37b),2010-23,0.0936,0.1657,0.1999
0.75,AJ  | wall-censored | all  (estimator only),1995-2009,0.1134,0.1969,0.266
0.75,AJ  | wall-censored | all  (estimator only),2010-23,0.092,0.1622,0.1951
0.75,AJ  | death-extended| all  (the death clock),1995-2009,0.0999,0.1626,0.2066
0.75,AJ  | death-extended| all  (the death clock),2010-23,0.0852,0.143,0.1657
0.75,AJ  | death-extended| 1995+ (= 37d),1995-2009,0.0974,0.1605,0.2048
0.75,AJ  | death-extended| 1995+ (= 37d),2010-23,0.0852,0.143,0.1657
0.8,KM  | wall-censored | all  (= 37b),1995-2009,0.0532,0.1078,0.1425
0.8,KM  | wall-censored | all  (= 37b),2010-23,0.0802,0.1298,0.1644
0.8,AJ  | wall-censored | all  (estimator only),1995-2009,0.0532,0.1077,0.142
0.8,AJ  | wall-censored | all  (estimator only),2010-23,0.0789,0.1272,0.1604
0.8,AJ  | death-extended| all  (the death clock),1995-2009,0.0468,0.0876,0.1095
0.8,AJ  | death-extended| all  (the death clock),2010-23,0.0731,0.112,0.1352
0.8,AJ  | death-extended| 1995+ (= 37d),1995-2009,0.044,0.085,0.1071
0.8,AJ  | death-extended| 1995+ (= 37d),2010-23,0.0731,0.112,0.1352
