bar,convention,k,diff,lo,hi
0.7,wall-censored,8,-0.0593,-0.1317,0.0154
0.7,wall-censored,16,-0.0986,-0.1843,-0.0041
0.7,wall-censored,24,-0.1453,-0.2523,-0.0363
0.7,death-extended,8,-0.0494,-0.1127,0.0156
0.7,death-extended,16,-0.0732,-0.1498,0.0058
0.7,death-extended,24,-0.1004,-0.1888,-0.0169
0.75,wall-censored,8,-0.0214,-0.0788,0.0403
0.75,wall-censored,16,-0.0347,-0.11,0.0462
0.75,wall-censored,24,-0.0709,-0.1648,0.0299
0.75,death-extended,8,-0.0147,-0.0665,0.0384
0.75,death-extended,16,-0.0196,-0.0882,0.0482
0.75,death-extended,24,-0.0408,-0.1186,0.0324
0.8,wall-censored,8,0.0257,-0.0254,0.0793
0.8,wall-censored,16,0.0195,-0.0458,0.0897
0.8,wall-censored,24,0.0185,-0.0639,0.1015
0.8,death-extended,8,0.0263,-0.0185,0.0723
0.8,death-extended,16,0.0244,-0.0309,0.0838
0.8,death-extended,24,0.0257,-0.0397,0.0969
