bar,convention,k,recover,lo,hi,death,n
0.7,wall-censored,8,0.1649,0.1314,0.1999,0.0087,496
0.7,wall-censored,16,0.2691,0.2261,0.317,0.0118,496
0.7,wall-censored,24,0.3651,0.3112,0.413,0.0268,496
0.7,death-extended,8,0.1488,0.1185,0.1796,0.1152,496
0.7,death-extended,16,0.2302,0.1928,0.2693,0.2031,496
0.7,death-extended,24,0.2941,0.2505,0.3365,0.2986,496
0.75,wall-censored,8,0.106,0.0775,0.1346,0.0087,496
0.75,wall-censored,16,0.1855,0.1464,0.2239,0.0118,496
0.75,wall-censored,24,0.2461,0.2006,0.2903,0.0268,496
0.75,death-extended,8,0.0951,0.0713,0.1205,0.1172,496
0.75,death-extended,16,0.1566,0.1253,0.1903,0.2203,496
0.75,death-extended,24,0.1959,0.1596,0.2353,0.3194,496
0.8,wall-censored,8,0.062,0.0401,0.0859,0.0087,496
0.8,wall-censored,16,0.1139,0.0831,0.1481,0.0147,496
0.8,wall-censored,24,0.1476,0.1123,0.1846,0.0296,496
0.8,death-extended,8,0.0557,0.0367,0.0765,0.1172,496
0.8,death-extended,16,0.0955,0.0689,0.1222,0.2266,496
0.8,death-extended,24,0.1175,0.0889,0.1479,0.3348,496
