weight,era,arm,n,n_risk,aj_cut,aj_die,bal,n_bal,cut_or_die,lo,hi
tna-wt,1980-94,stressed,652,627.0,0.18181818181818182,0.06220095693779904,,0.0,0.24401913875598086,,
tna-wt,1980-94,unstressed,512,494.0,0.19230769230769232,0.01417004048582996,,0.0,0.20647773279352227,,
tna-wt,1980-94,gap,1164,,-0.010489510489510495,,,,,-0.05879406420950959,0.036649035080871854
tna-wt,1995-2009,stressed,9995,9277.0,0.19785976168324151,0.08673999519470162,0.21472745577448582,6953.0,0.28155653767381694,,
tna-wt,1995-2009,unstressed,7924,7661.0,0.23617977480672137,0.04463370550002406,0.24159881569207994,6755.0,0.2790758386633599,,
tna-wt,1995-2009,gap,17919,,-0.03832001312347985,,,,,-0.05192913816837171,-0.025305689475553336
tna-wt,2010-23,stressed,19305,18250.0,0.15597638179651535,0.06846349736325737,0.16598890942698707,16230.0,0.2223013698630137,,
tna-wt,2010-23,unstressed,7236,6957.0,0.14640151935948306,0.035064142180424335,0.152190741600867,6459.0,0.1801063676872215,,
tna-wt,2010-23,gap,26541,,0.009574862437032289,,,,,-0.0006954957563975392,0.020474308420531592
equal-wt,1980-94,stressed,652,627.0,0.19138755980861244,0.06220095693779904,,0.0,0.2535885167464115,,
equal-wt,1980-94,unstressed,512,494.0,0.21457489878542513,0.01417004048582996,,0.0,0.22874493927125505,,
equal-wt,1980-94,gap,1164,,-0.023187338976812688,,,,,-0.07307190872996627,0.02860580825278865
equal-wt,1995-2009,stressed,9995,9282.0,0.1913768230042332,0.08713158192559123,0.20177320177320177,6993.0,0.2754794225382461,,
equal-wt,1995-2009,unstressed,7924,7667.0,0.23521814063300964,0.04447415342450922,0.2379899793692897,6786.0,0.2779444371983827,,
equal-wt,1995-2009,gap,17919,,-0.04384131762877644,,,,,-0.05655830612772832,-0.030995420352586157
equal-wt,2010-23,stressed,19305,18251.0,0.1838721173796442,0.0683553609925845,0.19591162249831692,16339.0,0.24984932332474932,,
equal-wt,2010-23,unstressed,7236,6957.0,0.17483180323581426,0.034930115565534874,0.18141321044546851,6510.0,0.20813569067126636,,
equal-wt,2010-23,gap,26541,,0.009040314143829942,,,,,-0.0016215902569980303,0.020255027226338602
